127.0.0.1 - - [20/Jun/2020:16:47:05 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/img/splogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/img/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/img/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:06 +0900] "GET /fullPage2/img/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:47:07 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:52:05 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:52:05 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:53:15 +0900] "GET /fullPage2/index.html HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:53:22 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:53:23 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:53:23 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:53:52 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:56:00 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:56:01 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:16:56:01 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:36 +0900] "GET /fullPage2/index.html HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:40 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:41 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:42 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:43 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2020:17:00:43 +0900] "GET /fullPage2/index.html HTTP/1.1" 304 -
